Baseline 100%T,,5%,,10%,,15%,,A,,A!,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1054,0.2195717394,1054,2.733505011,1054,2.786081791,1054,2.719427347,1054,0.1458190084,1054,0.1334410906,
1053,0.2194122523,1053,2.846471548,1053,2.783490419,1053,2.785787344,1053,0.1461984515,1053,0.1337186396,
1052,0.2196567655,1052,2.787042141,1052,2.764114141,1052,2.772491217,1052,0.1460696459,1052,0.1336036623,
1051,0.2195060402,1051,2.759448528,1051,2.765318871,1051,2.784589291,1051,0.1463804096,1051,0.134144187,
1050,0.2196247429,1050,2.831217051,1050,2.787742615,1050,2.798838377,1050,0.1464435458,1050,0.133883357,
1049,0.2196664214,1049,2.754758596,1049,2.737410784,1049,2.842751741,1049,0.1463191211,1049,0.1340334117,
1048,0.2196921408,1048,2.777402163,1048,2.775702953,1048,2.794403553,1048,0.1464826018,1048,0.1341141611,
1047,0.2197298408,1047,2.80104804,1047,2.814940453,1047,2.759352922,1047,0.1464049965,1047,0.1340374947,
1046,0.2197821289,1046,2.786767244,1046,2.751908779,1046,2.772124052,1046,0.1463574916,1046,0.1340815574,
1045,0.2198621333,1045,2.803323269,1045,2.73810792,1045,2.774297714,1045,0.1463686228,1045,0.1340551823,
1044,0.2198234797,1044,2.764445305,1044,2.755712032,1044,2.753935337,1044,0.1465494931,1044,0.134061709,
1043,0.2200031132,1043,2.756634951,1043,2.776107311,1043,2.738118649,1043,0.1463418901,1043,0.1341623515,
1042,0.2199869603,1042,2.758007765,1042,2.711494446,1042,2.802470446,1042,0.1465208381,1042,0.134133026,
1041,0.2200480103,1041,2.800924063,1041,2.802360058,1041,2.74618578,1041,0.1464818418,1041,0.1340051442,
1040,0.219860673,1040,2.74330163,1040,2.745790243,1040,2.716641903,1040,0.1470052451,1040,0.1344591677,
1039,0.2199445963,1039,2.796094418,1039,2.774337769,1039,2.710748196,1039,0.1470896453,1039,0.134655118,
1038,0.2200590074,1038,2.788224697,1038,2.73410058,1038,2.736968279,1038,0.1472514123,1038,0.1348403543,
1037,0.2201383263,1037,2.778488398,1037,2.755539656,1037,2.764472246,1037,0.1474666297,1037,0.1350089163,
1036,0.2201231569,1036,2.795893669,1036,2.819729328,1036,2.761662245,1036,0.1479724348,1036,0.1356173754,
1035,0.2201473862,1035,2.83511138,1035,2.724663734,1035,2.757281065,1035,0.1487679929,1035,0.1364546418,
1034,0.2202484012,1034,2.725171328,1034,2.739238501,1034,2.710707664,1034,0.1498544365,1034,0.1375028938,
1033,0.2202425003,1033,2.824643612,1033,2.751904964,1033,2.730760098,1033,0.1515336484,1033,0.1390726417,
1032,0.2202675194,1032,2.722013235,1032,2.738722801,1032,2.728760242,1032,0.1532381326,1032,0.1411637813,
1031,0.2203288674,1031,2.771795988,1031,2.748259068,1031,2.66255331,1031,0.1548940241,1031,0.1426566243,
1030,0.2203491628,1030,2.787670612,1030,2.687353849,1030,2.750823021,1030,0.1559964716,1030,0.1437194347,
1029,0.2205186784,1029,2.749201536,1029,2.725281954,1029,2.682194233,1029,0.1563994288,1029,0.1440300345,
1028,0.2204530537,1028,2.724187851,1028,2.686647177,1028,2.696095943,1028,0.1563637704,1028,0.1438792348,
1027,0.2204344273,1027,2.766759396,1027,2.716999769,1027,2.700628996,1027,0.1557010263,1027,0.143391028,
1026,0.2206341773,1026,2.80574894,1026,2.716909409,1026,2.674885511,1026,0.1548838466,1026,0.1425513774,
1025,0.2206300497,1025,2.765163422,1025,2.714028358,1025,2.701164007,1025,0.1543100625,1025,0.1419028044,
1024,0.2205687016,1024,2.800132751,1024,2.704418898,1024,2.765090466,1024,0.153675884,1024,0.1413138211,
1023,0.2206986696,1023,2.757315636,1023,2.7055583,1023,2.700029135,1023,0.1529312283,1023,0.1405223161,
1022,0.2207426131,1022,2.771435022,1022,2.745457649,1022,2.760406256,1022,0.1519749016,1022,0.1396908611,
1021,0.2206060439,1021,2.773736715,1021,2.674624443,1021,2.766746283,1021,0.1514666528,1021,0.1389448047,
1020,0.2206840962,1020,2.772069693,1020,2.712558985,1020,2.732084036,1020,0.1505860239,1020,0.138310194,
1019,0.2209150344,1019,2.842859983,1019,2.716510534,1019,2.774726152,1019,0.1499912739,1019,0.1374856979,
